title,start_year,end_year,genre,summary,rating,votes,run_time,actors
The Boss Baby: Back in Business,2018,2021,"Animation, Adventure, Comedy","With a little help from his brother and accomplice, Tim, Boss Baby tries to balance family life with his job at Baby Corp headquarters.",6.5,2948,25,"JP Karliak, David W. Collins, Flula Borg, Pierce Gagnon"
Alta mar,2019,2020,"Crime, Drama, Mystery",Two sisters discover disturbing family secrets after a string of mysterious deaths occur on a luxury ship traveling from Spain to Brazil in the 1940s.,6.8,6483,50,"Ivana Baquero, Jon Kortajarena, Alejandra Onieva, Eloy Azorín"
Flaked,2016,Ongoing,"Comedy, Drama, Romance","A recovering alcoholic faces reality after a life changing accident in Venice Beach, California.",7.2,10782,30,"Will Arnett, David Sullivan, Ruth Kearney, George Basil"
Gwimul,2021,Ongoing,"Drama, Mystery, Thriller","The story of two fearless men who are willing to go through extreme lengths in their pursuit of a returning serial killer. To uncover the murderer's identity, the two are forced to look deeper than what the evidence seems to suggest.",8.2,1153,70,"Shin Ha-kyun, Yeo Jin-gu, Sung-eun Choi, Choi Dae-hoon"
Aseudal Yeondaegi,2019,Ongoing,"Action, Drama, Fantasy","Arthdal Chronicles depicts the birth of civilization and nations in ancient times. It is a story of mythical heroes, their struggle, unity and love of people living in a virtual land called Arth.",8.4,3266,80,"Song Joong-ki, Kim Ji-Won, Jang Dong-Gun, Kim Ok-bin"
Dare Me,2019,2020,"Crime, Mystery, Thriller",The lives of several cheerleaders are changed forever when a shocking crime rocks their quiet suburban world.,6.7,4049,42,"Willa Fitzgerald, Herizen F. Guardiola, Marlo Kelly, Rob Heaps"
Killjoys,2015,2019,"Action, Adventure, Sci-Fi","In the Quad, a planetary system on the brink of a bloody interplanetary class war, a fun loving trio of bounty hunters attempt to remain impartial as they chase deadly warrants.",7.2,20794,42,"Hannah John-Kamen, Aaron Ashmore, Luke Macfarlane, Tamsen McDonough"
Don't Trust the B---- in Apartment 23,2012,2013,Comedy,"Chloe is a New York party girl with the morals of a pirate. She causes trouble for her naive small town roommate, June, and Chloe's best friend, James Van Der Beek.",7.3,35329,22,"Krysten Ritter, Dreama Walker, Michael Blaiklock, Eric André"
Vivir sin permiso,2018,2020,Drama,"Nemo Bandeira, a dealer with a clean businessman facade, is diagnosed with Alzheimer's disease and tries to keep it from his family while he starts to think about who might be his successor.",7.5,3769,75,"Jose Coronado, Álex González, Claudia Traisac, Luis Zahera"
Voltron: Legendary Defender,2016,2018,"Animation, Action, Adventure",Five teenagers become the last line of defense for the galaxy in an intergalactic battle against the evil alien force led by King Zarkon.,8.1,8043,23,"Jeremy Shada, Bex Taylor-Klaus, Tyler Labine, Kimberly Brooks"
Kalifat,2020,Ongoing,"Crime, Drama, Thriller","Agent Fatima gets a tip that a terrorist act is planned in Sweden. At the same time, the teenager Sulle has opened her eyes to her student assistant who opens the doors to a new fascinating world.",8.2,15200,46,"Gizem Erdogan, Amed Bozan, Aliette Opheim, Albin Grenholm"
Sick Note,2017,2018,"Comedy, Crime","When Daniel Glass is misdiagnosed with a fatal disease he begins to notice how everyone around him treats him better, so he decides to keep pretending that he really is sick. This leads to more lies, and, eventually, crimes.",6.8,6468,30,"Rupert Grint, Nick Frost, Pippa Bennett-Warner, Marama Corlett"
Myth & Mogul: John DeLorean,2021,Ongoing,"Documentary, Biography, Crime","In the automotive world, John DeLorean rose from engineer to executive to icon. But under the hood of his self-created legend lies darkness and deceit.",7.0,213,,
Great News,2017,2018,Comedy,"A New Jersey mom puts her relationship with her daughter to the test when she lands an internship at her new job, which comes with many challenges.",7.0,5958,22,"Briga Heelan, Andrea Martin, Adam Campbell, Nicole Richie"
Karppi,2018,2020,"Crime, Drama, Mystery","When Sofia Karppi discovers the body of a young woman on a construction site, she triggers a chain of events that threatens to destroy her life again.",7.2,7267,45,"Pihla Viitala, Lauri Tilkanen, Mimosa Willamo, Noa Tola"
La trêve,2016,Ongoing,"Crime, Drama, Thriller",Crime series kick-started by the finding on a young man's body.,7.6,5936,52,"Yoann Blanc, Jasmina Douieb, Lara Hubinont, Tom Audenaert"
The Midnight Gospel,2020,Ongoing,"Animation, Adventure, Comedy","Clancy, a spacecaster with a malfunctioning multiverse simulator, leaves the comfort of his home to interview beings living in dying worlds.",8.2,13931,23,"Phil Hendrie, Duncan Trussell, Joey Diaz, Doug Lussenhop"
Derek,2012,2014,"Comedy, Drama",Derek is a loyal nursing home care assistant who sees only the good in his quirky co-workers as they struggle against prejudice and shrinking budgets to care for their elderly residents.,8.0,29242,23,"Ricky Gervais, Kerry Godliman, David Earl, Tim Barlow"
Tyrant,2014,2016,"Action, Drama, Thriller",An unassuming American family is drawn into the workings of a turbulent Middle Eastern nation.,7.8,22324,60,"Adam Rayner, Jennifer Finnigan, Ashraf Barhom, Moran Atias"
The Frankenstein Chronicles,2015,2017,"Crime, Drama, Fantasy","Inspector John Marlott investigates a series of crimes in 19th Century London, which may have been committed by a scientist intent on re-animating the dead.",7.3,10591,48,"Sean Bean, Richie Campbell, Tom Ward, Ryan Sampson"
Big Timber,2020,Ongoing,Reality-TV,"Big Timber follows the dangerous work of logger and sawmill owner Kevin Wenstob as he and his crew go to extremes to keep the family sawmill, and their way of life, alive.",6.5,333,,"Sarah Fleming, Erik Wenstob, Kevin Wenstob, Coleman Willner"
The Hour,2011,2012,Drama,"A behind-the-scenes drama and espionage thriller in Cold War-era England that centers on a journalist, a producer, and an anchorman for an investigative news programme.",8.0,9753,60,"Romola Garai, Ben Whishaw, Dominic West, Anna Chancellor"
The Real Housewives of New York City,2008,Ongoing,Reality-TV,"A fast-paced reality show that follows several incredibly busy and ambitious Manhattan women. Watch as they balance envious social calendars, challenging careers, and motherhood, with the hustle and bustle of the big city all around.",4.5,3254,44,"Ramona Singer, Luann de Lesseps, Sonja Morgan, Bethenny Frankel"
Being Human,2008,2013,"Comedy, Drama, Fantasy","A werewolf, a vampire and a ghost try to live together and get along.",7.8,24392,60,"Lenora Crichlow, Russell Tovey, Aidan Turner, Sinéad Keenan"
Psycho-Pass,2012,Ongoing,"Animation, Action, Crime","Believing in humanity and order, policewoman Akane Tsunemori obeys the ruling, computerized, precognitive Sibyl System. But when she faces a criminal mastermind who can elude this ""perfect"" system, she questions both Sibyl and herself.",8.2,16859,25,"Kana Hanazawa, Miyuki Sawashiro, Noriko Hidaka, Shizuka Itô"
Kono subarashii sekai ni shukufuku o!,2016,2017,"Animation, Adventure, Comedy",It was a happy day for Kazuma - right up to the moment he died. A goddess intervenes and offers him a second chance in a magical land.,7.8,7626,24,"Jun Fukushima, Sora Amamiya, Rie Takahashi, Ai Kayano"
Leyla ile Mecnun,2011,2021,"Adventure, Comedy, Drama","Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",9.1,90655,80,"Ali Atay, Ahmet Mümtaz Taylan, Serkan Keskin, Cengiz Bozkurt"
Sijipeuseu: The Myth,2021,Ongoing,"Action, Drama, Fantasy","An unfathomable incident introduces a genius engineer to dangerous secrets of the world, and to a woman from the future who's come looking for him.",7.1,2359,70,"Cho Seung-woo, Park Shin-Hye, In-ho Tae, Hye-in Jeong"
The Baby-Sitters Club,2020,Ongoing,"Comedy, Drama, Family",Based on the book series of the same name focusing on a group of young girls who start their own babysitting service.,7.4,2599,,"Sophie Grace, Momona Tamada, Shay Rudolph, Malia Baker"
Crossing Lines,2013,2015,"Action, Crime, Drama","A special crime unit investigates serialized crimes that cross over European borders, to hunt down criminals and bring them to justice.",7.3,12545,43,"Tom Wlaschiha, Donald Sutherland, Lara Rossi, William Fichtner"
We Bare Bears,2014,2019,"Animation, Adventure, Comedy",Three bear brothers do whatever they can to be a part of human society by doing what everyone around them does.,7.9,12975,30,"Eric Edelstein, Demetri Martin, Bobby Moynihan, Keith Ferguson"
Ezel,2009,2011,"Crime, Drama, Thriller","Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance.",8.6,29151,90,"Kenan Imirzalioglu, Cansu Dere, Yigit Özsener, Baris Falay"
Soupçons,2004,2018,"Documentary, Crime, Drama",The high-profile murder trial of American novelist Michael Peterson following the death of his wife in 2001.,7.9,20200,,"Michael Peterson, David Rudolf, Ron Guerette, Martha Ratliff"
Delhi Crime,2019,Ongoing,"Crime, Drama","Based on the Nirbhaya case, Delhi Crime follows the Delhi Police investigation into the finding of the men who perpetrated this crime.",8.5,15928,50,"Shefali Shah, Rajesh Tailang, Rasika Dugal, Anurag Arora"
Move to Heaven,2021,Ongoing,Drama,"Working as trauma cleaners, both Gu-ru and Sang-gu uncover various stories of the deceased while experiencing different emotions and sentiments toward life, death and family.",8.7,2598,60,"Olivia Castanho, Yang Hong-Seok, Lee Jehoon, Tang Joon-sang"
Baby,2018,2020,Drama,"A coming-of-age story that explores the unseen lives of Roman high schoolers. Loosely inspired by a true story, the series follows a group of Parioli teenagers as they defy society in their search for identity and independence",6.8,9336,50,"Benedetta Porcaroli, Alice Pagani, Riccardo Mandolini, Chabeli Sastre"
Jeopardy!,1984,Ongoing,Game-Show,A returning champion and two challengers test their buzzer skills and their knowledge in a wide range of academic and popular categories.,8.2,6528,30,"Alex Trebek, Johnny Gilbert, Jimmy McGuire, Sarah Whitcomb Foss"
A.N.T. Farm,2011,2014,"Comedy, Drama, Family",A musical prodigy gets into a gifted program called Advanced Natural Talents at the local high school.,5.1,6347,30,"China Anne McClain, Sierra McCormick, Jake Short, Stefanie Scott"
Chappelle's Show,2003,2006,"Comedy, Music",Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.,8.7,57671,22,"Dave Chappelle, Donnell Rawlings, Rudy Rush, Charlie Murphy"
You Me Her,2016,2020,"Comedy, Drama, Romance",Centers around a three-way romantic relationship involving a loving suburban married couple and another woman.,7.0,9698,28,"Greg Poehler, Rachel Blanchard, Priscilla Faia, Melanie Papalia"
Bitten,2014,2016,"Drama, Fantasy, Horror",Elena navigates her life between the human world and the werewolf world as the only female of the species.,7.0,16925,44,"Laura Vandervoort, Greyston Holt, Greg Bryk, Steve Lund"
The World's Most Amazing Vacation Rentals,2021,Ongoing,Reality-TV,"With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.",6.6,685,,"Megan Batoon, Jo Franco, Luis D. Ortiz, Drew Nicholls"
Johnny Test,2005,Ongoing,"Animation, Action, Adventure","The adventures of average suburban boy Johnny Test, who wittingly plays test subject for his genius twin sisters' various experiments, reluctantly fighting evil villains in the process.",5.1,7357,30,"James Arnold Taylor, Maryke Hendrikse, Lee Tockar, Ashleigh Ball"
Rebecka Martinsson,2017,Ongoing,"Crime, Drama, Mystery",When a childhood friend suddenly dies Rebecka Martinsson returns home to the north of Kiruna. But not everything is what it seems.,7.2,2356,45,"Eva Melander, Jakob Öhrman, Ardalan Esmaili, Thomas Oredsson"
Drop Dead Diva,2009,2014,"Comedy, Drama","A vapid aspiring model killed in a car crash gets brought back to life as an intelligent, overweight lawyer, hoping to find the meaning of inner beauty.",7.4,18697,60,"Brooke Elliott, Margaret Cho, Kate Levering, April Bowlby"
High-Rise Invasion,2021,Ongoing,"Animation, Action, Horror","High schooler Yuri finds herself atop a skyscraper in a strange world, where she must survive against masked assailants bent on killing their prey.",6.7,1836,25,"Haruka Shiraishi, Shiki Aoki, Yuichiro Umehara, Zeno Robinson"
La casa de las flores,2018,2020,"Comedy, Drama",A wealthy matriarch tries to maintain her family's facade of perfection after her husband's mistress exposes their dirty secrets.,7.6,7172,60,"Cecilia Suárez, Claudette Maillé, Dario Yazbek Bernal, Juan Pablo Medina"
Eung-dab-ha-ra 1988,2015,2016,"Comedy, Drama, Family",Follows the lives of 5 families living on the same street in a neighbourhood called Ssangmundong in Seoul. It takes a nostalgic look back at the year 1988.,9.1,4663,90,"Hyeri Lee, Go Kyung-Pyo, Ryu Jun-Yeol, Park Bo-Gum"
Are You the One?,2014,Ongoing,Reality-TV,Contestants stay for 10 weeks in a holiday destination to win $1 million and hopefully find love.,6.5,2061,41,"Ryan Devlin, Terrence Jenkins, Lewis Belt, Tomas Buenos"
Dogs of Berlin,2018,Ongoing,"Action, Crime, Drama",A politically sensitive murder forces two disparate detectives into a battle with the Berlin underworld and a confrontation with their own corruption.,7.6,11304,,"Felix Kramer, Fahri Yardim, Samy Abdel Fattah, Mohamed Issa"
Dash & Lily,2020,Ongoing,"Comedy, Drama, Romance","A whirlwind holiday romance builds as cynical Dash and optimistic Lily trade dares, dreams and desires in the notebook they pass back and forth at locations all across New York City.",7.5,12908,25,"Austin Abrams, Midori Francis, Dante Brown, Troy Iwata"
Rebellion,2016,2019,"Drama, History, War",Rebellion is a five part serial drama about the birth of modern Ireland. The story is told from the perspectives of a group of fictional characters who live through the political events of the 1916 Easter Rising.,7.2,3096,,"Michael Ford-FitzGerald, Jaelynne Wallace Ruane, Jordanne Jones, Brian Gleeson"
Inuyasha,2000,2004,"Animation, Action, Adventure",A teenage girl periodically travels back in time to feudal Japan to help a young half-demon recover the shards of a jewel of great power.,7.9,15149,24,"Kappei Yamaguchi, Richard Ian Cox, Darren Pleavin, Satsuki Yukino"
